file,batch,file_name,site,temp_id,population,n_coor,w_coor,year,date,time,day_night,distance,weather,wind,temperature,Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),syllable,delta_time
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,83,Waveform 1,2,23.55491546,23.55491546,0,48000,f,0.01001274
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,84,Waveform 1,2,23.5649282,23.5649282,0,48000,f,0.008233971
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,85,Waveform 1,2,23.57316217,23.57316217,0,48000,f,0.011640884
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,91,Waveform 1,2,24.21124679,24.21124679,0,48000,g,0.009128276
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,92,Waveform 1,2,24.22037507,24.22037507,0,48000,g,0.008305696
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,93,Waveform 1,2,24.22868076,24.22868076,0,48000,g,0.011031228
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,94,Waveform 1,2,24.23971199,24.23971199,0,48000,g,0.007473692
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,95,Waveform 1,2,24.24718568,24.24718568,0,48000,g,0.010837569
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,96,Waveform 1,2,24.25802325,24.25802325,0,48000,g,0.007100725
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,97,Waveform 1,2,24.26512398,24.26512398,0,48000,g,0.010098808
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,98,Waveform 1,2,24.27522278,24.27522278,0,48000,g,0.009230943
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,99,Waveform 1,2,24.28445373,24.28445373,0,48000,g,0.00922377
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,100,Waveform 1,2,24.2936775,24.2936775,0,48000,g,0.011174674
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,106,Waveform 1,2,24.66227839,24.66227839,0,48000,h,0.008425959
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,107,Waveform 1,2,24.67070435,24.67070435,0,48000,h,0.008929668
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,108,Waveform 1,2,24.67963401,24.67963401,0,48000,h,0.010859089
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,109,Waveform 1,2,24.6904931,24.6904931,0,48000,h,0.00738045
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,110,Waveform 1,2,24.69787355,24.69787355,0,48000,h,0.010966674
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,111,Waveform 1,2,24.70884023,24.70884023,0,48000,h,0.006491066
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,112,Waveform 1,2,24.71533129,24.71533129,0,48000,h,0.010105981
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,113,Waveform 1,2,24.72543727,24.72543727,0,48000,h,0.009697152
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,114,Waveform 1,2,24.73513443,24.73513443,0,48000,h,0.008198109
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,115,Waveform 1,2,24.74333253,24.74333253,0,48000,h,0.01180585
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,122,Waveform 1,2,25.39344146,25.39344146,0,48000,i,0.008400472
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,123,Waveform 1,2,25.40184193,25.40184193,0,48000,i,0.008886665
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,124,Waveform 1,2,25.4107286,25.4107286,0,48000,i,0.01110293
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,125,Waveform 1,2,25.42183153,25.42183153,0,48000,i,0.007459347
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,126,Waveform 1,2,25.42929087,25.42929087,0,48000,i,0.010744327
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,127,Waveform 1,2,25.4400352,25.4400352,0,48000,i,0.006914241
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,128,Waveform 1,2,25.44694944,25.44694944,0,48000,i,0.010070119
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,129,Waveform 1,2,25.45701956,25.45701956,0,48000,i,0.009797512
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,130,Waveform 1,2,25.46681707,25.46681707,0,48000,i,0.008714566
